model,seed,concept,layer,rank,direction,context,eval_lang,acc,logit_diff,n
bigscience/bloom-560m,0,side,-1,0,none,informative,bn,0.6666666666666666,0.3204646209875743,120
bigscience/bloom-560m,0,side,-1,0,none,informative,en,0.5083333333333333,0.08027979532877604,120
bigscience/bloom-560m,0,side,-1,0,none,informative,hi,0.6166666666666667,0.34433420598506925,120
bigscience/bloom-560m,0,side,-1,0,none,neutral,bn,0.43333333333333335,-0.17757983207702638,120
bigscience/bloom-560m,0,side,-1,0,none,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,-1,0,none,neutral,hi,0.49166666666666664,-0.029096723596254984,120
bigscience/bloom-560m,0,gender,-1,0,none,informative,bn,0.5,0.5868090391159058,120
bigscience/bloom-560m,0,gender,-1,0,none,informative,en,0.9583333333333334,0.5642773946126302,120
bigscience/bloom-560m,0,gender,-1,0,none,informative,hi,0.725,0.44527589877446494,120
bigscience/bloom-560m,0,gender,-1,0,none,neutral,bn,0.5,0.04501112898190816,120
bigscience/bloom-560m,0,gender,-1,0,none,neutral,en,0.85,0.5204597473144531,120
bigscience/bloom-560m,0,gender,-1,0,none,neutral,hi,0.55,0.18901139895121258,120
bigscience/bloom-560m,0,side,0,1,bn,informative,bn,0.6833333333333333,0.3284929951032003,120
bigscience/bloom-560m,0,side,0,1,bn,informative,en,0.5083333333333333,0.0801989237467448,120
bigscience/bloom-560m,0,side,0,1,bn,informative,hi,0.6166666666666667,0.34345805943012236,120
bigscience/bloom-560m,0,side,0,1,bn,neutral,bn,0.43333333333333335,-0.16812120079994203,120
bigscience/bloom-560m,0,side,0,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,0,1,bn,neutral,hi,0.49166666666666664,-0.030140621463457744,120
bigscience/bloom-560m,0,side,2,1,bn,informative,bn,0.6583333333333333,0.29587623476982117,120
bigscience/bloom-560m,0,side,2,1,bn,informative,en,0.5083333333333333,0.07726847330729167,120
bigscience/bloom-560m,0,side,2,1,bn,informative,hi,0.6166666666666667,0.3263727366924286,120
bigscience/bloom-560m,0,side,2,1,bn,neutral,bn,0.43333333333333335,-0.21423250436782837,120
bigscience/bloom-560m,0,side,2,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,2,1,bn,neutral,hi,0.4666666666666667,-0.03936968942483266,120
bigscience/bloom-560m,0,side,4,1,bn,informative,bn,0.65,0.3142711639404297,120
bigscience/bloom-560m,0,side,4,1,bn,informative,en,0.5083333333333333,0.07337010701497396,120
bigscience/bloom-560m,0,side,4,1,bn,informative,hi,0.6083333333333333,0.3337484290202459,120
bigscience/bloom-560m,0,side,4,1,bn,neutral,bn,0.44166666666666665,-0.17888834277788798,120
bigscience/bloom-560m,0,side,4,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,4,1,bn,neutral,hi,0.475,-0.0350873718659083,120
bigscience/bloom-560m,0,side,6,1,bn,informative,bn,0.6833333333333333,0.3726107438405355,120
bigscience/bloom-560m,0,side,6,1,bn,informative,en,0.5083333333333333,0.081085205078125,120
bigscience/bloom-560m,0,side,6,1,bn,informative,hi,0.6166666666666667,0.36133328874905907,120
bigscience/bloom-560m,0,side,6,1,bn,neutral,bn,0.4583333333333333,-0.15411508282025654,120
bigscience/bloom-560m,0,side,6,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,6,1,bn,neutral,hi,0.5,0.010690645376841227,120
bigscience/bloom-560m,0,side,8,1,bn,informative,bn,0.6583333333333333,0.3372962772846222,120
bigscience/bloom-560m,0,side,8,1,bn,informative,en,0.5083333333333333,0.07849375406901042,120
bigscience/bloom-560m,0,side,8,1,bn,informative,hi,0.6166666666666667,0.34550686875979103,120
bigscience/bloom-560m,0,side,8,1,bn,neutral,bn,0.43333333333333335,-0.20527777870496114,120
bigscience/bloom-560m,0,side,8,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,8,1,bn,neutral,hi,0.5,-0.021115692456563313,120
bigscience/bloom-560m,0,side,10,1,bn,informative,bn,0.6583333333333333,0.3239639321962992,120
