model,seed,concept,layer,rank,direction,context,eval_lang,acc,logit_diff,n
facebook/xglm-564M,0,side,-1,0,none,informative,bn,0.4,-0.5849580466747284,120
facebook/xglm-564M,0,side,-1,0,none,informative,en,0.5,0.0971234122912089,120
facebook/xglm-564M,0,side,-1,0,none,informative,hi,0.5416666666666666,0.08796682755152384,120
facebook/xglm-564M,0,side,-1,0,none,neutral,bn,0.5,-0.23513461351394654,120
facebook/xglm-564M,0,side,-1,0,none,neutral,en,0.5,0.0,120
facebook/xglm-564M,0,side,-1,0,none,neutral,hi,0.5,0.27510042786598204,120
facebook/xglm-564M,0,gender,-1,0,none,informative,bn,0.5,0.21961539189020793,120
facebook/xglm-564M,0,gender,-1,0,none,informative,en,0.7166666666666667,0.8772697448730469,120
facebook/xglm-564M,0,gender,-1,0,none,informative,hi,0.5,0.3209271152814229,120
facebook/xglm-564M,0,gender,-1,0,none,neutral,bn,0.5,0.1505904197692871,120
facebook/xglm-564M,0,gender,-1,0,none,neutral,en,0.625,0.6862489779790243,120
facebook/xglm-564M,0,gender,-1,0,none,neutral,hi,0.5,0.29983874758084617,120
facebook/xglm-564M,0,side,0,1,bn,informative,bn,0.43333333333333335,-0.5834783852100373,120
facebook/xglm-564M,0,side,0,1,bn,informative,en,0.5,0.10163087447484334,120
facebook/xglm-564M,0,side,0,1,bn,informative,hi,0.5416666666666666,0.09348993400732676,120
facebook/xglm-564M,0,side,0,1,bn,neutral,bn,0.5,-0.2560286243756612,120
facebook/xglm-564M,0,side,0,1,bn,neutral,en,0.5,0.0,120
facebook/xglm-564M,0,side,0,1,bn,neutral,hi,0.5,0.2803031394879023,120
facebook/xglm-564M,0,side,2,1,bn,informative,bn,0.475,-0.4851958056290944,120
facebook/xglm-564M,0,side,2,1,bn,informative,en,0.5,0.09450001319249471,120
facebook/xglm-564M,0,side,2,1,bn,informative,hi,0.55,0.09384396970272064,120
facebook/xglm-564M,0,side,2,1,bn,neutral,bn,0.5,-0.15781678358713785,120
facebook/xglm-564M,0,side,2,1,bn,neutral,en,0.5,0.0,120
facebook/xglm-564M,0,side,2,1,bn,neutral,hi,0.5,0.2869117667277654,120
facebook/xglm-564M,0,side,4,1,bn,informative,bn,0.475,-0.4831391175587972,120
facebook/xglm-564M,0,side,4,1,bn,informative,en,0.5,0.09211909373601278,120
facebook/xglm-564M,0,side,4,1,bn,informative,hi,0.5583333333333333,0.11366227666536967,120
facebook/xglm-564M,0,side,4,1,bn,neutral,bn,0.5,-0.20249985456466674,120
facebook/xglm-564M,0,side,4,1,bn,neutral,en,0.5,0.0,120
facebook/xglm-564M,0,side,4,1,bn,neutral,hi,0.5,0.2859825283288956,120
facebook/xglm-564M,0,side,6,1,bn,informative,bn,0.49166666666666664,-0.5048284848531087,120
facebook/xglm-564M,0,side,6,1,bn,informative,en,0.5,0.10433931350708008,120
facebook/xglm-564M,0,side,6,1,bn,informative,hi,0.5416666666666666,0.10443013906478882,120
facebook/xglm-564M,0,side,6,1,bn,neutral,bn,0.5,-0.25216321349143983,120
facebook/xglm-564M,0,side,6,1,bn,neutral,en,0.5,0.0,120
facebook/xglm-564M,0,side,6,1,bn,neutral,hi,0.5,0.28591753939787545,120
facebook/xglm-564M,0,side,8,1,bn,informative,bn,0.5,-0.4030226290225983,120
facebook/xglm-564M,0,side,8,1,bn,informative,en,0.5,0.1005525271097819,120
