model,seed,concept,layer,rank,direction,context,eval_lang,acc,logit_diff,n
bigscience/bloom-560m,0,side,-1,0,none,informative,bn,0.6666666666666666,0.3204646209875743,120
bigscience/bloom-560m,0,side,-1,0,none,informative,en,0.5083333333333333,0.080279795328776,120
bigscience/bloom-560m,0,side,-1,0,none,informative,hi,0.6166666666666667,0.3443342059850692,120
bigscience/bloom-560m,0,side,-1,0,none,neutral,bn,0.4333333333333333,-0.1775798320770263,120
bigscience/bloom-560m,0,side,-1,0,none,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,-1,0,none,neutral,hi,0.4916666666666666,-0.0290967235962549,120
bigscience/bloom-560m,0,gender,-1,0,none,informative,bn,0.5,0.5868090391159058,120
bigscience/bloom-560m,0,gender,-1,0,none,informative,en,0.9583333333333334,0.5642773946126302,120
bigscience/bloom-560m,0,gender,-1,0,none,informative,hi,0.725,0.4452758987744649,120
bigscience/bloom-560m,0,gender,-1,0,none,neutral,bn,0.5,0.0450111289819081,120
bigscience/bloom-560m,0,gender,-1,0,none,neutral,en,0.85,0.5204597473144531,120
bigscience/bloom-560m,0,gender,-1,0,none,neutral,hi,0.55,0.1890113989512125,120
bigscience/bloom-560m,0,side,0,1,bn,informative,bn,0.6833333333333333,0.3284929951032003,120
bigscience/bloom-560m,0,side,0,1,bn,informative,en,0.5083333333333333,0.0801989237467448,120
bigscience/bloom-560m,0,side,0,1,bn,informative,hi,0.6166666666666667,0.3434580594301223,120
bigscience/bloom-560m,0,side,0,1,bn,neutral,bn,0.4333333333333333,-0.168121200799942,120
bigscience/bloom-560m,0,side,0,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,0,1,bn,neutral,hi,0.4916666666666666,-0.0301406214634577,120
bigscience/bloom-560m,0,side,2,1,bn,informative,bn,0.6583333333333333,0.2958762347698211,120
bigscience/bloom-560m,0,side,2,1,bn,informative,en,0.5083333333333333,0.0772684733072916,120
bigscience/bloom-560m,0,side,2,1,bn,informative,hi,0.6166666666666667,0.3263727366924286,120
bigscience/bloom-560m,0,side,2,1,bn,neutral,bn,0.4333333333333333,-0.2142325043678283,120
bigscience/bloom-560m,0,side,2,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,2,1,bn,neutral,hi,0.4666666666666667,-0.0393696894248326,120
bigscience/bloom-560m,0,side,4,1,bn,informative,bn,0.65,0.3142711639404297,120
bigscience/bloom-560m,0,side,4,1,bn,informative,en,0.5083333333333333,0.0733701070149739,120
bigscience/bloom-560m,0,side,4,1,bn,informative,hi,0.6083333333333333,0.3337484290202459,120
bigscience/bloom-560m,0,side,4,1,bn,neutral,bn,0.4416666666666666,-0.1788883427778879,120
bigscience/bloom-560m,0,side,4,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,4,1,bn,neutral,hi,0.475,-0.0350873718659083,120
bigscience/bloom-560m,0,side,6,1,bn,informative,bn,0.6833333333333333,0.3726107438405355,120
bigscience/bloom-560m,0,side,6,1,bn,informative,en,0.5083333333333333,0.081085205078125,120
bigscience/bloom-560m,0,side,6,1,bn,informative,hi,0.6166666666666667,0.361333288749059,120
bigscience/bloom-560m,0,side,6,1,bn,neutral,bn,0.4583333333333333,-0.1541150828202565,120
bigscience/bloom-560m,0,side,6,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,6,1,bn,neutral,hi,0.5,0.0106906453768412,120
bigscience/bloom-560m,0,side,8,1,bn,informative,bn,0.6583333333333333,0.3372962772846222,120
bigscience/bloom-560m,0,side,8,1,bn,informative,en,0.5083333333333333,0.0784937540690104,120
bigscience/bloom-560m,0,side,8,1,bn,informative,hi,0.6166666666666667,0.345506868759791,120
bigscience/bloom-560m,0,side,8,1,bn,neutral,bn,0.4333333333333333,-0.2052777787049611,120
bigscience/bloom-560m,0,side,8,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,8,1,bn,neutral,hi,0.5,-0.0211156924565633,120
bigscience/bloom-560m,0,side,10,1,bn,informative,bn,0.6583333333333333,0.3239639321962992,120
bigscience/bloom-560m,0,side,10,1,bn,informative,en,0.5083333333333333,0.0781634012858072,120
bigscience/bloom-560m,0,side,10,1,bn,informative,hi,0.6083333333333333,0.3341202845176061,120
bigscience/bloom-560m,0,side,10,1,bn,neutral,bn,0.4416666666666666,-0.1866360147794087,120
bigscience/bloom-560m,0,side,10,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,10,1,bn,neutral,hi,0.475,-0.0436727046966552,120
bigscience/bloom-560m,0,side,12,1,bn,informative,bn,0.65,0.2991088191668192,120
bigscience/bloom-560m,0,side,12,1,bn,informative,en,0.5083333333333333,0.0775894165039062,120
bigscience/bloom-560m,0,side,12,1,bn,informative,hi,0.6166666666666667,0.340048603216807,120
bigscience/bloom-560m,0,side,12,1,bn,neutral,bn,0.4583333333333333,-0.1786317586898803,120
bigscience/bloom-560m,0,side,12,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,12,1,bn,neutral,hi,0.475,-0.0229809075593948,120
bigscience/bloom-560m,0,side,12,4,bn,informative,bn,0.6416666666666667,0.247721113761266,120
bigscience/bloom-560m,0,side,12,4,bn,informative,en,0.5,0.070819600423177,120
bigscience/bloom-560m,0,side,12,4,bn,informative,hi,0.6166666666666667,0.3427513172229131,120
bigscience/bloom-560m,0,side,12,4,bn,neutral,bn,0.45,-0.200397902727127,120
bigscience/bloom-560m,0,side,12,4,bn,neutral,en,0.5,-2.5431315104166666e-07,120
bigscience/bloom-560m,0,side,12,4,bn,neutral,hi,0.4666666666666667,-0.028699854016304,120
bigscience/bloom-560m,0,side,14,1,bn,informative,bn,0.65,0.3023309389750163,120
bigscience/bloom-560m,0,side,14,1,bn,informative,en,0.5,0.0778345743815104,120
bigscience/bloom-560m,0,side,14,1,bn,informative,hi,0.625,0.3482551743586858,120
bigscience/bloom-560m,0,side,14,1,bn,neutral,bn,0.4416666666666666,-0.1794098277886708,120
bigscience/bloom-560m,0,side,14,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,14,1,bn,neutral,hi,0.4916666666666666,-0.0222669680913289,120
bigscience/bloom-560m,0,side,16,1,bn,informative,bn,0.6416666666666667,0.2982618629932403,120
bigscience/bloom-560m,0,side,16,1,bn,informative,en,0.5083333333333333,0.0831794738769531,120
bigscience/bloom-560m,0,side,16,1,bn,informative,hi,0.6083333333333333,0.3384599447250366,120
bigscience/bloom-560m,0,side,16,1,bn,neutral,bn,0.4333333333333333,-0.1934268752733866,120
bigscience/bloom-560m,0,side,16,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,16,1,bn,neutral,hi,0.4833333333333333,-0.0393622428178787,120
bigscience/bloom-560m,0,side,18,1,bn,informative,bn,0.6833333333333333,0.3091926435629527,120
bigscience/bloom-560m,0,side,18,1,bn,informative,en,0.5083333333333333,0.0859944661458333,120
bigscience/bloom-560m,0,side,18,1,bn,informative,hi,0.6166666666666667,0.3389074355363846,120
bigscience/bloom-560m,0,side,18,1,bn,neutral,bn,0.4333333333333333,-0.2055554886658986,120
bigscience/bloom-560m,0,side,18,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,18,1,bn,neutral,hi,0.4666666666666667,-0.0473666042089462,120
bigscience/bloom-560m,0,side,20,1,bn,informative,bn,0.65,0.3061237772305806,120
bigscience/bloom-560m,0,side,20,1,bn,informative,en,0.5,0.0829025268554687,120
bigscience/bloom-560m,0,side,20,1,bn,informative,hi,0.6166666666666667,0.356777548789978,120
bigscience/bloom-560m,0,side,20,1,bn,neutral,bn,0.4416666666666666,-0.1968665440877278,120
bigscience/bloom-560m,0,side,20,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,20,1,bn,neutral,hi,0.4916666666666666,-0.0268989930550257,120
bigscience/bloom-560m,0,side,22,1,bn,informative,bn,0.6333333333333333,0.2563294728597005,120
bigscience/bloom-560m,0,side,22,1,bn,informative,en,0.5,0.0802274068196614,120
bigscience/bloom-560m,0,side,22,1,bn,informative,hi,0.6166666666666667,0.346403165658315,120
bigscience/bloom-560m,0,side,22,1,bn,neutral,bn,0.4416666666666666,-0.2184527119000752,120
bigscience/bloom-560m,0,side,22,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,22,1,bn,neutral,hi,0.4833333333333333,-0.0279894083738327,120
