model,layer,rank,metric,mean,std,n_seeds
bigscience/bloom-560m,12,1,clean_acc_src,0.6666666666666666,0.0,1
bigscience/bloom-560m,12,1,clean_acc_tgt,0.5083333333333333,0.0,1
bigscience/bloom-560m,12,1,drop_src,0.016666666666666607,0.0,1
bigscience/bloom-560m,12,1,drop_tgt,0.0,0.0,1
bigscience/bloom-560m,12,1,drop_random_src,-0.008333333333333415,0.0,1
bigscience/bloom-560m,12,1,gap,0.016666666666666607,0.0,1
bigscience/bloom-560m,12,1,specificity,0.025000000000000022,0.0,1
bigscience/bloom-560m,12,1,drop_identity,0.0,0.0,1
bigscience/bloom-560m,12,1,gap_matched,0.0249999999999998,0.0,1
facebook/xglm-564M,12,1,clean_acc_src,0.4,0.0,1
facebook/xglm-564M,12,1,clean_acc_tgt,0.5,0.0,1
facebook/xglm-564M,12,1,drop_src,-0.008333333333333304,0.0,1
facebook/xglm-564M,12,1,drop_tgt,0.0,0.0,1
facebook/xglm-564M,12,1,drop_random_src,0.0,0.0,1
facebook/xglm-564M,12,1,gap,-0.008333333333333304,0.0,1
facebook/xglm-564M,12,1,specificity,-0.008333333333333304,0.0,1
facebook/xglm-564M,12,1,drop_identity,0.0,0.0,1
facebook/xglm-564M,12,1,gap_matched,-0.050000000000000044,0.0,1
