model,seed,concept,layer,rank,direction,lang,acc_before,acc_after
bigscience/bloom-1b7,0,side,0,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,side,2,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,side,4,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,side,6,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,side,8,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,side,10,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,side,12,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,side,12,4,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,side,14,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,side,16,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,side,18,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,side,20,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,side,22,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,side,0,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,side,2,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,side,4,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,side,6,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,side,8,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,side,10,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,side,12,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,side,12,4,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,side,14,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,side,16,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,side,18,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,side,20,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,side,22,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,side,0,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,side,2,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,side,4,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,side,6,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,side,8,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,side,10,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,side,12,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,side,12,4,en,en,1.0,0.8333333333333334
bigscience/bloom-1b7,0,side,14,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,side,16,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,side,18,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,side,20,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,side,22,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,gender,0,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,2,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,4,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,6,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,8,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,10,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,12,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,12,4,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,14,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,16,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,18,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,20,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,22,1,bn,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,0,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,gender,2,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,gender,4,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,gender,6,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,gender,8,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,gender,10,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,gender,12,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,gender,12,4,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,gender,14,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,gender,16,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,gender,18,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,gender,20,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,gender,22,1,hi,hi,1.0,1.0
bigscience/bloom-1b7,0,gender,0,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,gender,2,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,gender,4,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,gender,6,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,gender,8,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,gender,10,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,gender,12,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,gender,12,4,en,en,1.0,1.0
bigscience/bloom-1b7,0,gender,14,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,gender,16,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,gender,18,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,gender,20,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,gender,22,1,en,en,1.0,1.0
bigscience/bloom-1b7,0,side,0,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,0,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,side,2,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,2,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,side,4,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,4,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,side,6,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,6,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,side,8,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,8,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,side,10,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,10,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,side,12,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,12,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,side,12,4,random,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,12,4,random,bn,1.0,1.0
bigscience/bloom-1b7,0,side,14,1,random,bn,1.0,1.0
bigscience/bloom-1b7,0,gender,14,1,random,bn,1.0,1.0
