model,concept,layer,rank,gap_mean,gap_std,random_drop_src
bigscience/bloom-1b7,side,0,1,0.013333333333333242,0.004082482904638716,-0.0033333333333333214
bigscience/bloom-1b7,side,2,1,-0.003333333333333366,0.024494897427831862,-0.0033333333333333214
bigscience/bloom-1b7,side,4,1,-0.00499999999999996,0.01795054935711509,-0.0016666666666666607
bigscience/bloom-1b7,side,6,1,0.08666666666666674,0.04268749491621894,0.0016666666666667052
bigscience/bloom-1b7,side,8,1,0.02000000000000004,0.013540064007726688,-0.0016666666666666386
bigscience/bloom-1b7,side,10,1,-0.011666666666666737,0.02915475947422653,0.0050000000000000044
bigscience/bloom-1b7,side,12,1,0.015000000000000036,0.009718253158075481,-0.001666666666666683
bigscience/bloom-1b7,side,14,1,0.03166666666666675,0.02549509756796397,0.0050000000000000044
bigscience/bloom-1b7,side,16,1,-0.010000000000000031,0.023213980461973382,-0.009999999999999986
bigscience/bloom-1b7,side,18,1,-0.0033333333333333435,0.018708286933869736,0.006666666666666687
bigscience/bloom-1b7,side,20,1,0.013333333333333353,0.011303883305208744,0.0016666666666667052
bigscience/bloom-1b7,side,22,1,0.01500000000000008,0.02000000000000012,0.0
bigscience/bloom-1b7,gender,0,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,2,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,4,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,6,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,8,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,10,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,12,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,14,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,16,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,18,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,20,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,22,1,0.0,0.0,0.0
bigscience/bloom-560m,side,0,1,0.0,0.0,0.0
bigscience/bloom-560m,side,2,1,0.026666666666666637,0.019999999999999858,0.0
bigscience/bloom-560m,side,4,1,-0.03333333333333337,0.021081851067789262,0.0
bigscience/bloom-560m,side,6,1,-0.026666666666666727,0.027080128015453227,0.0
bigscience/bloom-560m,side,8,1,-0.026666666666666727,0.027080128015453227,0.0
bigscience/bloom-560m,side,10,1,-0.023333333333333362,0.02494438257849296,-0.010000000000000075
bigscience/bloom-560m,side,12,1,-6.661338147750939e-17,0.010540925533894454,-0.00666666666666671
bigscience/bloom-560m,side,14,1,-0.003333333333333277,0.006666666666666554,0.0
bigscience/bloom-560m,side,16,1,0.0,0.0,0.0
bigscience/bloom-560m,side,18,1,0.006666666666666732,0.008164965809277341,-0.003333333333333366
bigscience/bloom-560m,side,20,1,0.0,0.0,0.0
bigscience/bloom-560m,side,22,1,0.043333333333333356,0.024944382578492873,0.0
bigscience/bloom-560m,gender,0,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,2,1,0.006666666666666732,0.008164965809277341,0.0
bigscience/bloom-560m,gender,4,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,6,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,8,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,10,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,12,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,14,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,16,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,18,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,20,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,22,1,0.0,0.0,0.0
