model,seed,concept,layer,rank,direction,context,eval_lang,acc,pair_acc,logit_diff,n
bigscience/bloom-1b7,4,side,-1,0,none,informative,bn,0.5,1.0,0.2401041885217031,120
bigscience/bloom-1b7,4,side,-1,0,none,informative,en,0.575,0.975,0.146875,120
bigscience/bloom-1b7,4,side,-1,0,none,informative,hi,0.4583333333333333,0.5666666666666667,-0.002604168653488159,120
bigscience/bloom-1b7,4,side,-1,0,none,neutral,bn,0.5,0.925,0.1098958412806193,120
bigscience/bloom-1b7,4,side,-1,0,none,neutral,en,0.48333333333333334,0.5,0.0,120
bigscience/bloom-1b7,4,side,-1,0,none,neutral,hi,0.4583333333333333,0.10833333333333334,-0.11197917262713114,120
bigscience/bloom-1b7,4,gender,-1,0,none,informative,bn,0.5,1.0,0.41666666269302366,120
bigscience/bloom-1b7,4,gender,-1,0,none,informative,en,0.6833333333333333,1.0,0.8656250079472859,120
bigscience/bloom-1b7,4,gender,-1,0,none,informative,hi,0.5,0.7166666666666667,0.07239582935969034,120
bigscience/bloom-1b7,4,gender,-1,0,none,neutral,bn,0.5,1.0,0.26562501390775045,120
bigscience/bloom-1b7,4,gender,-1,0,none,neutral,en,0.6833333333333333,1.0,0.840625003973643,120
bigscience/bloom-1b7,4,gender,-1,0,none,neutral,hi,0.5,1.0,0.24375000794728596,120
bigscience/bloom-1b7,4,side,0,1,bn,informative,bn,0.5,1.0,0.2276041587193807,120
bigscience/bloom-1b7,4,side,0,1,bn,informative,en,0.5666666666666667,0.9833333333333333,0.153125,120
bigscience/bloom-1b7,4,side,0,1,bn,informative,hi,0.4583333333333333,0.6,-0.0005208353201548258,120
bigscience/bloom-1b7,4,side,0,1,bn,neutral,bn,0.5,0.9333333333333333,0.10885417660077414,120
bigscience/bloom-1b7,4,side,0,1,bn,neutral,en,0.49166666666666664,0.5,0.0,120
bigscience/bloom-1b7,4,side,0,1,bn,neutral,hi,0.45,0.09166666666666666,-0.11666667064030965,120
bigscience/bloom-1b7,4,side,2,1,bn,informative,bn,0.5,1.0,0.24739582538604737,120
bigscience/bloom-1b7,4,side,2,1,bn,informative,en,0.5666666666666667,1.0,0.16458333333333333,120
bigscience/bloom-1b7,4,side,2,1,bn,informative,hi,0.45,0.6333333333333333,0.004687490065892538,120
bigscience/bloom-1b7,4,side,2,1,bn,neutral,bn,0.5,0.9416666666666667,0.12031250794728597,120
bigscience/bloom-1b7,4,side,2,1,bn,neutral,en,0.49166666666666664,0.5,0.0,120
bigscience/bloom-1b7,4,side,2,1,bn,neutral,hi,0.4583333333333333,0.075,-0.11562500198682149,120
bigscience/bloom-1b7,4,side,4,1,bn,informative,bn,0.5,1.0,0.24635416666666668,120
bigscience/bloom-1b7,4,side,4,1,bn,informative,en,0.5583333333333333,0.9916666666666667,0.14375,120
bigscience/bloom-1b7,4,side,4,1,bn,informative,hi,0.44166666666666665,0.5333333333333333,-0.015104166666666667,120
bigscience/bloom-1b7,4,side,4,1,bn,neutral,bn,0.5,0.95,0.11979168256123861,120
bigscience/bloom-1b7,4,side,4,1,bn,neutral,en,0.475,0.5,0.0,120
bigscience/bloom-1b7,4,side,4,1,bn,neutral,hi,0.45,0.09166666666666666,-0.12395833134651184,120
bigscience/bloom-1b7,4,side,6,1,bn,informative,bn,0.5,0.95,0.1635416865348816,120
bigscience/bloom-1b7,4,side,6,1,bn,informative,en,0.5583333333333333,0.9833333333333333,0.14479166666666668,120
bigscience/bloom-1b7,4,side,6,1,bn,informative,hi,0.45,0.55,-0.02083333730697632,120
bigscience/bloom-1b7,4,side,6,1,bn,neutral,bn,0.5,0.775,0.0515625,120
bigscience/bloom-1b7,4,side,6,1,bn,neutral,en,0.48333333333333334,0.5,0.0,120
bigscience/bloom-1b7,4,side,6,1,bn,neutral,hi,0.4666666666666667,0.058333333333333334,-0.12187502185503642,120
bigscience/bloom-1b7,4,side,8,1,bn,informative,bn,0.5,0.9916666666666667,0.203125003973643,120
bigscience/bloom-1b7,4,side,8,1,bn,informative,en,0.575,0.9916666666666667,0.14479166666666668,120
bigscience/bloom-1b7,4,side,8,1,bn,informative,hi,0.43333333333333335,0.5833333333333334,-0.004687498013178508,120
bigscience/bloom-1b7,4,side,8,1,bn,neutral,bn,0.5,0.85,0.07708334326744079,120
bigscience/bloom-1b7,4,side,8,1,bn,neutral,en,0.48333333333333334,0.5083333333333333,0.0010416666666666667,120
bigscience/bloom-1b7,4,side,8,1,bn,neutral,hi,0.4583333333333333,0.09166666666666666,-0.12447914679845175,120
bigscience/bloom-1b7,4,side,10,1,bn,informative,bn,0.5,1.0,0.2255208373069763,120
bigscience/bloom-1b7,4,side,10,1,bn,informative,en,0.575,0.9833333333333333,0.15104166666666666,120
bigscience/bloom-1b7,4,side,10,1,bn,informative,hi,0.4583333333333333,0.575,0.005729178587595622,120
bigscience/bloom-1b7,4,side,10,1,bn,neutral,bn,0.5,0.9416666666666667,0.09999998013178507,120
bigscience/bloom-1b7,4,side,10,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,4,side,10,1,bn,neutral,hi,0.4583333333333333,0.09166666666666666,-0.1145833452542623,120
bigscience/bloom-1b7,4,side,12,1,bn,informative,bn,0.5083333333333333,1.0,0.21614583134651183,120
bigscience/bloom-1b7,4,side,12,1,bn,informative,en,0.5583333333333333,1.0,0.14791666666666667,120
bigscience/bloom-1b7,4,side,12,1,bn,informative,hi,0.44166666666666665,0.5333333333333333,-0.006770829359690349,120
bigscience/bloom-1b7,4,side,12,1,bn,neutral,bn,0.5,0.8916666666666667,0.08072916666666667,120
bigscience/bloom-1b7,4,side,12,1,bn,neutral,en,0.48333333333333334,0.5,0.0,120
bigscience/bloom-1b7,4,side,12,1,bn,neutral,hi,0.4666666666666667,0.041666666666666664,-0.1343749980131785,120
bigscience/bloom-1b7,4,side,12,4,bn,informative,bn,0.5,0.975,0.19166669448216755,120
bigscience/bloom-1b7,4,side,12,4,bn,informative,en,0.55,0.975,0.13333333333333333,120
bigscience/bloom-1b7,4,side,12,4,bn,informative,hi,0.45,0.55,-0.007291664679845174,120
bigscience/bloom-1b7,4,side,12,4,bn,neutral,bn,0.5,0.8083333333333333,0.04687501589457194,120
bigscience/bloom-1b7,4,side,12,4,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,4,side,12,4,bn,neutral,hi,0.4666666666666667,0.03333333333333333,-0.1479166587193807,120
bigscience/bloom-1b7,4,side,14,1,bn,informative,bn,0.5,0.9833333333333333,0.1989583392937978,120
bigscience/bloom-1b7,4,side,14,1,bn,informative,en,0.5666666666666667,0.975,0.14375,120
bigscience/bloom-1b7,4,side,14,1,bn,informative,hi,0.4583333333333333,0.525,-0.01041666070620219,120
bigscience/bloom-1b7,4,side,14,1,bn,neutral,bn,0.5,0.85,0.06354167858759562,120
bigscience/bloom-1b7,4,side,14,1,bn,neutral,en,0.48333333333333334,0.5,0.0,120
bigscience/bloom-1b7,4,side,14,1,bn,neutral,hi,0.4583333333333333,0.05,-0.1265625,120
bigscience/bloom-1b7,4,side,16,1,bn,informative,bn,0.5,1.0,0.22864582538604736,120
bigscience/bloom-1b7,4,side,16,1,bn,informative,en,0.5666666666666667,0.9833333333333333,0.14895833333333333,120
bigscience/bloom-1b7,4,side,16,1,bn,informative,hi,0.45,0.5666666666666667,-0.012499996026357015,120
bigscience/bloom-1b7,4,side,16,1,bn,neutral,bn,0.5,0.9333333333333333,0.09895833532015483,120
bigscience/bloom-1b7,4,side,16,1,bn,neutral,en,0.475,0.5,0.0,120
bigscience/bloom-1b7,4,side,16,1,bn,neutral,hi,0.45,0.075,-0.13385416467984518,120
bigscience/bloom-1b7,4,side,18,1,bn,informative,bn,0.5,1.0,0.2557291805744171,120
bigscience/bloom-1b7,4,side,18,1,bn,informative,en,0.575,0.9916666666666667,0.15208333333333332,120
bigscience/bloom-1b7,4,side,18,1,bn,informative,hi,0.43333333333333335,0.48333333333333334,-0.01562501589457194,120
bigscience/bloom-1b7,4,side,18,1,bn,neutral,bn,0.5,0.95,0.11458331346511841,120
bigscience/bloom-1b7,4,side,18,1,bn,neutral,en,0.49166666666666664,0.5,0.0,120
bigscience/bloom-1b7,4,side,18,1,bn,neutral,hi,0.4666666666666667,0.06666666666666667,-0.12447915275891622,120
bigscience/bloom-1b7,4,side,20,1,bn,informative,bn,0.5,0.9916666666666667,0.22864583730697632,120
bigscience/bloom-1b7,4,side,20,1,bn,informative,en,0.5583333333333333,1.0,0.14895833333333333,120
bigscience/bloom-1b7,4,side,20,1,bn,informative,hi,0.45,0.5416666666666666,0.004687513907750448,120
bigscience/bloom-1b7,4,side,20,1,bn,neutral,bn,0.5,0.8833333333333333,0.09062501390775045,120
bigscience/bloom-1b7,4,side,20,1,bn,neutral,en,0.5,0.5083333333333333,0.0010416666666666667,120
bigscience/bloom-1b7,4,side,20,1,bn,neutral,hi,0.4666666666666667,0.1,-0.10781250993410746,120
bigscience/bloom-1b7,4,side,22,1,bn,informative,bn,0.5,0.9833333333333333,0.2151041805744171,120
bigscience/bloom-1b7,4,side,22,1,bn,informative,en,0.5583333333333333,0.9916666666666667,0.15208333333333332,120
bigscience/bloom-1b7,4,side,22,1,bn,informative,hi,0.4583333333333333,0.5166666666666667,-0.0125,120
bigscience/bloom-1b7,4,side,22,1,bn,neutral,bn,0.5,0.875,0.0848958412806193,120
bigscience/bloom-1b7,4,side,22,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,4,side,22,1,bn,neutral,hi,0.4583333333333333,0.075,-0.12031249403953552,120
bigscience/bloom-1b7,4,side,0,1,hi,informative,bn,0.5,1.0,0.24843748609224955,120
bigscience/bloom-1b7,4,side,0,1,hi,informative,en,0.5666666666666667,0.9666666666666667,0.14479166666666668,120
bigscience/bloom-1b7,4,side,0,1,hi,informative,hi,0.4583333333333333,0.6083333333333333,0.0203125,120
bigscience/bloom-1b7,4,side,0,1,hi,neutral,bn,0.5,0.925,0.10781251192092896,120
bigscience/bloom-1b7,4,side,0,1,hi,neutral,en,0.475,0.5,0.0,120
bigscience/bloom-1b7,4,side,0,1,hi,neutral,hi,0.4583333333333333,0.13333333333333333,-0.07812499205271403,120
bigscience/bloom-1b7,4,side,2,1,hi,informative,bn,0.5,1.0,0.24166667858759563,120
bigscience/bloom-1b7,4,side,2,1,hi,informative,en,0.5583333333333333,0.9916666666666667,0.14166666666666666,120
bigscience/bloom-1b7,4,side,2,1,hi,informative,hi,0.4583333333333333,0.44166666666666665,-0.029687505960464478,120
bigscience/bloom-1b7,4,side,2,1,hi,neutral,bn,0.5,0.925,0.10677082538604736,120
bigscience/bloom-1b7,4,side,2,1,hi,neutral,en,0.49166666666666664,0.5,0.0,120
bigscience/bloom-1b7,4,side,2,1,hi,neutral,hi,0.45,0.03333333333333333,-0.12864582737286887,120
bigscience/bloom-1b7,4,side,4,1,hi,informative,bn,0.5,1.0,0.24062501589457194,120
bigscience/bloom-1b7,4,side,4,1,hi,informative,en,0.5666666666666667,0.9833333333333333,0.14791666666666667,120
bigscience/bloom-1b7,4,side,4,1,hi,informative,hi,0.44166666666666665,0.30833333333333335,-0.05937499602635701,120
bigscience/bloom-1b7,4,side,4,1,hi,neutral,bn,0.5,0.8833333333333333,0.10208333929379781,120
bigscience/bloom-1b7,4,side,4,1,hi,neutral,en,0.49166666666666664,0.5083333333333333,0.0010416666666666667,120
bigscience/bloom-1b7,4,side,4,1,hi,neutral,hi,0.45,0.016666666666666666,-0.16875,120
bigscience/bloom-1b7,4,side,6,1,hi,informative,bn,0.5,1.0,0.2333333472410838,120
bigscience/bloom-1b7,4,side,6,1,hi,informative,en,0.5666666666666667,1.0,0.16354166666666667,120
bigscience/bloom-1b7,4,side,6,1,hi,informative,hi,0.4583333333333333,0.5333333333333333,-0.017187505960464478,120
bigscience/bloom-1b7,4,side,6,1,hi,neutral,bn,0.5,0.9166666666666666,0.09635416467984517,120
bigscience/bloom-1b7,4,side,6,1,hi,neutral,en,0.48333333333333334,0.5166666666666667,0.0020833333333333333,120
bigscience/bloom-1b7,4,side,6,1,hi,neutral,hi,0.45,0.09166666666666666,-0.13124998211860656,120
bigscience/bloom-1b7,4,side,8,1,hi,informative,bn,0.5,1.0,0.23906250794728598,120
bigscience/bloom-1b7,4,side,8,1,hi,informative,en,0.5666666666666667,1.0,0.16458333333333333,120
bigscience/bloom-1b7,4,side,8,1,hi,informative,hi,0.4666666666666667,0.7,0.03281250993410746,120
bigscience/bloom-1b7,4,side,8,1,hi,neutral,bn,0.5,0.9416666666666667,0.1067708452542623,120
bigscience/bloom-1b7,4,side,8,1,hi,neutral,en,0.48333333333333334,0.5083333333333333,0.0010416666666666667,120
bigscience/bloom-1b7,4,side,8,1,hi,neutral,hi,0.4666666666666667,0.2,-0.07760418057441712,120
bigscience/bloom-1b7,4,side,10,1,hi,informative,bn,0.5,0.9916666666666667,0.22812499205271403,120
bigscience/bloom-1b7,4,side,10,1,hi,informative,en,0.5666666666666667,0.9833333333333333,0.15208333333333332,120
bigscience/bloom-1b7,4,side,10,1,hi,informative,hi,0.5,0.8166666666666667,0.09427082339922586,120
bigscience/bloom-1b7,4,side,10,1,hi,neutral,bn,0.5,0.9166666666666666,0.10416666467984517,120
bigscience/bloom-1b7,4,side,10,1,hi,neutral,en,0.5,0.49166666666666664,-0.0010416666666666667,120
bigscience/bloom-1b7,4,side,10,1,hi,neutral,hi,0.49166666666666664,0.4166666666666667,-0.006770823399225871,120
bigscience/bloom-1b7,4,side,12,1,hi,informative,bn,0.5,0.9916666666666667,0.2359374761581421,120
bigscience/bloom-1b7,4,side,12,1,hi,informative,en,0.575,1.0,0.15833333333333333,120
bigscience/bloom-1b7,4,side,12,1,hi,informative,hi,0.4666666666666667,0.8083333333333333,0.0635416607062022,120
bigscience/bloom-1b7,4,side,12,1,hi,neutral,bn,0.5,0.925,0.11197916269302369,120
bigscience/bloom-1b7,4,side,12,1,hi,neutral,en,0.49166666666666664,0.5083333333333333,0.0010416666666666667,120
bigscience/bloom-1b7,4,side,12,1,hi,neutral,hi,0.49166666666666664,0.3,-0.026562509934107463,120
bigscience/bloom-1b7,4,side,12,4,hi,informative,bn,0.5,0.9833333333333333,0.22135416865348817,120
bigscience/bloom-1b7,4,side,12,4,hi,informative,en,0.5666666666666667,0.9833333333333333,0.14479166666666668,120
bigscience/bloom-1b7,4,side,12,4,hi,informative,hi,0.4583333333333333,0.6583333333333333,0.022916648785273233,120
bigscience/bloom-1b7,4,side,12,4,hi,neutral,bn,0.5,0.9083333333333333,0.09687501192092896,120
bigscience/bloom-1b7,4,side,12,4,hi,neutral,en,0.5,0.49166666666666664,-0.0010416666666666667,120
bigscience/bloom-1b7,4,side,12,4,hi,neutral,hi,0.475,0.20833333333333334,-0.06927082339922587,120
bigscience/bloom-1b7,4,side,14,1,hi,informative,bn,0.5,0.9916666666666667,0.24010416269302368,120
bigscience/bloom-1b7,4,side,14,1,hi,informative,en,0.5666666666666667,0.9916666666666667,0.146875,120
bigscience/bloom-1b7,4,side,14,1,hi,informative,hi,0.49166666666666664,0.8333333333333334,0.09427083532015483,120
bigscience/bloom-1b7,4,side,14,1,hi,neutral,bn,0.5,0.9166666666666666,0.11093748807907104,120
bigscience/bloom-1b7,4,side,14,1,hi,neutral,en,0.48333333333333334,0.5083333333333333,0.0010416666666666667,120
bigscience/bloom-1b7,4,side,14,1,hi,neutral,hi,0.49166666666666664,0.375,-0.018750013907750447,120
bigscience/bloom-1b7,4,side,16,1,hi,informative,bn,0.5,1.0,0.2505208154519399,120
bigscience/bloom-1b7,4,side,16,1,hi,informative,en,0.5666666666666667,0.9833333333333333,0.14895833333333333,120
bigscience/bloom-1b7,4,side,16,1,hi,informative,hi,0.48333333333333334,0.7666666666666667,0.05937499602635701,120
bigscience/bloom-1b7,4,side,16,1,hi,neutral,bn,0.5,0.9416666666666667,0.10833333532015482,120
bigscience/bloom-1b7,4,side,16,1,hi,neutral,en,0.49166666666666664,0.5,0.0,120
bigscience/bloom-1b7,4,side,16,1,hi,neutral,hi,0.48333333333333334,0.20833333333333334,-0.05052082737286886,120
bigscience/bloom-1b7,4,side,18,1,hi,informative,bn,0.5,1.0,0.2296875,120
bigscience/bloom-1b7,4,side,18,1,hi,informative,en,0.575,0.9833333333333333,0.14479166666666668,120
bigscience/bloom-1b7,4,side,18,1,hi,informative,hi,0.4583333333333333,0.6416666666666667,0.015104166666666667,120
