model,seed,concept,layer,rank,direction,context,eval_lang,acc,pair_acc,logit_diff,n
bigscience/bloom-560m,1,side,-1,0,none,informative,bn,0.5833333333333334,0.9833333333333333,0.28969914714495343,120
bigscience/bloom-560m,1,side,-1,0,none,informative,en,0.5416666666666666,0.9666666666666667,0.06041997273763021,120
bigscience/bloom-560m,1,side,-1,0,none,informative,hi,0.6666666666666666,1.0,0.4604900638262431,120
bigscience/bloom-560m,1,side,-1,0,none,neutral,bn,0.48333333333333334,0.26666666666666666,-0.0822338322798411,120
bigscience/bloom-560m,1,side,-1,0,none,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-560m,1,side,-1,0,none,neutral,hi,0.5416666666666666,0.6833333333333333,0.04065502385298411,120
bigscience/bloom-560m,1,gender,-1,0,none,informative,bn,0.5,1.0,0.5976706008116405,120
bigscience/bloom-560m,1,gender,-1,0,none,informative,en,0.85,1.0,0.561114501953125,120
bigscience/bloom-560m,1,gender,-1,0,none,informative,hi,0.6083333333333333,1.0,0.5312920371691386,120
bigscience/bloom-560m,1,gender,-1,0,none,neutral,bn,0.5,0.6,0.04384619494279226,120
bigscience/bloom-560m,1,gender,-1,0,none,neutral,en,0.875,1.0,0.5513359069824219,120
bigscience/bloom-560m,1,gender,-1,0,none,neutral,hi,0.5083333333333333,1.0,0.22827651898066204,120
bigscience/bloom-560m,1,side,0,1,bn,informative,bn,0.5833333333333334,0.9833333333333333,0.2998691380023956,120
bigscience/bloom-560m,1,side,0,1,bn,informative,en,0.5416666666666666,0.9666666666666667,0.059801483154296876,120
bigscience/bloom-560m,1,side,0,1,bn,informative,hi,0.6583333333333333,1.0,0.46082592010498047,120
bigscience/bloom-560m,1,side,0,1,bn,neutral,bn,0.48333333333333334,0.2833333333333333,-0.06131281057993571,120
bigscience/bloom-560m,1,side,0,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-560m,1,side,0,1,bn,neutral,hi,0.5416666666666666,0.7,0.03830426335334778,120
