model,seed,concept,layer,rank,direction,context,eval_lang,acc,pair_acc,logit_diff,n
bigscience/bloom-1b7,0,side,-1,0,none,informative,bn,0.5,1.0,0.2572916766007741,120
bigscience/bloom-1b7,0,side,-1,0,none,informative,en,0.525,0.975,0.1416666666666666,120
bigscience/bloom-1b7,0,side,-1,0,none,informative,hi,0.45,0.2416666666666666,-0.0973958333333333,120
bigscience/bloom-1b7,0,side,-1,0,none,neutral,bn,0.5,0.9416666666666668,0.0916666706403096,120
bigscience/bloom-1b7,0,side,-1,0,none,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,0,side,-1,0,none,neutral,hi,0.4083333333333333,0.0,-0.1796875059604644,120
bigscience/bloom-1b7,0,gender,-1,0,none,informative,bn,0.5,1.0,0.4619791726271311,120
bigscience/bloom-1b7,0,gender,-1,0,none,informative,en,0.775,1.0,0.8510416706403097,120
bigscience/bloom-1b7,0,gender,-1,0,none,informative,hi,0.5083333333333333,0.725,0.0333333373069763,120
bigscience/bloom-1b7,0,gender,-1,0,none,neutral,bn,0.5,1.0,0.2822916686534881,120
bigscience/bloom-1b7,0,gender,-1,0,none,neutral,en,0.725,1.0,0.7885416666666667,120
bigscience/bloom-1b7,0,gender,-1,0,none,neutral,hi,0.5,1.0,0.2078125,120
bigscience/bloom-1b7,0,side,0,1,bn,informative,bn,0.5,1.0,0.2489583134651184,120
bigscience/bloom-1b7,0,side,0,1,bn,informative,en,0.525,0.9916666666666668,0.1375,120
bigscience/bloom-1b7,0,side,0,1,bn,informative,hi,0.4416666666666666,0.275,-0.1036458472410837,120
bigscience/bloom-1b7,0,side,0,1,bn,neutral,bn,0.5,0.9416666666666668,0.0973958273728688,120
bigscience/bloom-1b7,0,side,0,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,0,side,0,1,bn,neutral,hi,0.4,0.0,-0.182812496026357,120
bigscience/bloom-1b7,0,side,2,1,bn,informative,bn,0.5,1.0,0.2734375099341075,120
bigscience/bloom-1b7,0,side,2,1,bn,informative,en,0.5166666666666667,1.0,0.1447916666666666,120
bigscience/bloom-1b7,0,side,2,1,bn,informative,hi,0.4416666666666666,0.25,-0.1026041666666666,120
bigscience/bloom-1b7,0,side,2,1,bn,neutral,bn,0.5,0.9416666666666668,0.112499996026357,120
bigscience/bloom-1b7,0,side,2,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,0,side,2,1,bn,neutral,hi,0.4,0.0,-0.1880208532015482,120
bigscience/bloom-1b7,0,side,4,1,bn,informative,bn,0.5,1.0,0.256250003973643,120
bigscience/bloom-1b7,0,side,4,1,bn,informative,en,0.525,0.9916666666666668,0.1489583333333333,120
bigscience/bloom-1b7,0,side,4,1,bn,informative,hi,0.4416666666666666,0.2583333333333333,-0.1057291746139526,120
bigscience/bloom-1b7,0,side,4,1,bn,neutral,bn,0.5,0.9166666666666666,0.0838541686534881,120
bigscience/bloom-1b7,0,side,4,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,0,side,4,1,bn,neutral,hi,0.4166666666666667,0.0,-0.1859375039736429,120
bigscience/bloom-1b7,0,side,6,1,bn,informative,bn,0.5,0.9333333333333332,0.1791666746139526,120
bigscience/bloom-1b7,0,side,6,1,bn,informative,en,0.5333333333333333,0.9666666666666668,0.146875,120
bigscience/bloom-1b7,0,side,6,1,bn,informative,hi,0.4416666666666666,0.2083333333333333,-0.1145833273728688,120
bigscience/bloom-1b7,0,side,6,1,bn,neutral,bn,0.5,0.6166666666666667,0.0374999821186065,120
bigscience/bloom-1b7,0,side,6,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,0,side,6,1,bn,neutral,hi,0.4166666666666667,0.0,-0.1760416547457377,120
bigscience/bloom-1b7,0,side,8,1,bn,informative,bn,0.5,1.0,0.2312500039736429,120
bigscience/bloom-1b7,0,side,8,1,bn,informative,en,0.525,0.975,0.1375,120
bigscience/bloom-1b7,0,side,8,1,bn,informative,hi,0.45,0.2583333333333333,-0.1078125,120
bigscience/bloom-1b7,0,side,8,1,bn,neutral,bn,0.5,0.8583333333333333,0.0755208313465118,120
bigscience/bloom-1b7,0,side,8,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,0,side,8,1,bn,neutral,hi,0.4083333333333333,0.0,-0.1890625099341074,120
bigscience/bloom-1b7,0,side,10,1,bn,informative,bn,0.5,0.9916666666666668,0.2473958512147267,120
bigscience/bloom-1b7,0,side,10,1,bn,informative,en,0.525,0.9916666666666668,0.1427083333333333,120
bigscience/bloom-1b7,0,side,10,1,bn,informative,hi,0.4583333333333333,0.275,-0.0869791666666666,120
bigscience/bloom-1b7,0,side,10,1,bn,neutral,bn,0.5,0.9166666666666666,0.0864583392937978,120
bigscience/bloom-1b7,0,side,10,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,0,side,10,1,bn,neutral,hi,0.4166666666666667,0.0083333333333333,-0.1812500019868214,120
bigscience/bloom-1b7,0,side,12,1,bn,informative,bn,0.5,0.9916666666666668,0.2192708253860473,120
bigscience/bloom-1b7,0,side,12,1,bn,informative,en,0.525,0.9916666666666668,0.1479166666666666,120
bigscience/bloom-1b7,0,side,12,1,bn,informative,hi,0.4416666666666666,0.25,-0.1078125,120
bigscience/bloom-1b7,0,side,12,1,bn,neutral,bn,0.5,0.8,0.056249992052714,120
bigscience/bloom-1b7,0,side,12,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,0,side,12,1,bn,neutral,hi,0.4166666666666667,0.0,-0.1968750059604644,120
bigscience/bloom-1b7,0,side,12,4,bn,informative,bn,0.5,0.975,0.2005208412806193,120
bigscience/bloom-1b7,0,side,12,4,bn,informative,en,0.5333333333333333,0.9833333333333332,0.134375,120
bigscience/bloom-1b7,0,side,12,4,bn,informative,hi,0.425,0.25,-0.1057291706403096,120
bigscience/bloom-1b7,0,side,12,4,bn,neutral,bn,0.5,0.5916666666666667,0.0239583392937978,120
bigscience/bloom-1b7,0,side,12,4,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,0,side,12,4,bn,neutral,hi,0.425,0.0,-0.2041666547457377,120
bigscience/bloom-1b7,0,side,14,1,bn,informative,bn,0.5,0.9833333333333332,0.2255208194255828,120
bigscience/bloom-1b7,0,side,14,1,bn,informative,en,0.5333333333333333,0.9833333333333332,0.1395833333333333,120
bigscience/bloom-1b7,0,side,14,1,bn,informative,hi,0.4416666666666666,0.2083333333333333,-0.1072916706403096,120
bigscience/bloom-1b7,0,side,14,1,bn,neutral,bn,0.5,0.8583333333333333,0.0635416766007741,120
bigscience/bloom-1b7,0,side,14,1,bn,neutral,en,0.5,0.5083333333333333,0.0010416666666666,120
bigscience/bloom-1b7,0,side,14,1,bn,neutral,hi,0.4083333333333333,0.0,-0.1968750059604644,120
bigscience/bloom-1b7,0,side,16,1,bn,informative,bn,0.5,0.9916666666666668,0.2567708472410838,120
bigscience/bloom-1b7,0,side,16,1,bn,informative,en,0.5333333333333333,0.9833333333333332,0.14375,120
bigscience/bloom-1b7,0,side,16,1,bn,informative,hi,0.4416666666666666,0.2,-0.1166666467984517,120
bigscience/bloom-1b7,0,side,16,1,bn,neutral,bn,0.5,0.9583333333333334,0.0942708472410837,120
bigscience/bloom-1b7,0,side,16,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,0,side,16,1,bn,neutral,hi,0.4,0.0,-0.2015625019868215,120
bigscience/bloom-1b7,0,side,18,1,bn,informative,bn,0.5,1.0,0.2750000099341074,120
bigscience/bloom-1b7,0,side,18,1,bn,informative,en,0.525,0.9833333333333332,0.1416666666666666,120
bigscience/bloom-1b7,0,side,18,1,bn,informative,hi,0.425,0.225,-0.1078124940395355,120
bigscience/bloom-1b7,0,side,18,1,bn,neutral,bn,0.5,0.9333333333333332,0.0901041726271311,120
bigscience/bloom-1b7,0,side,18,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,0,side,18,1,bn,neutral,hi,0.425,0.0,-0.185937488079071,120
bigscience/bloom-1b7,0,side,20,1,bn,informative,bn,0.5,1.0,0.2468750039736429,120
bigscience/bloom-1b7,0,side,20,1,bn,informative,en,0.5416666666666666,0.9916666666666668,0.1479166666666666,120
bigscience/bloom-1b7,0,side,20,1,bn,informative,hi,0.4583333333333333,0.2833333333333333,-0.0838541805744171,120
bigscience/bloom-1b7,0,side,20,1,bn,neutral,bn,0.5,0.8666666666666667,0.0697916607062021,120
bigscience/bloom-1b7,0,side,20,1,bn,neutral,en,0.5,0.5083333333333333,0.0010416666666666,120
bigscience/bloom-1b7,0,side,20,1,bn,neutral,hi,0.4166666666666667,0.0,-0.1776041626930236,120
bigscience/bloom-1b7,0,side,22,1,bn,informative,bn,0.5,1.0,0.2364583353201548,120
bigscience/bloom-1b7,0,side,22,1,bn,informative,en,0.5083333333333333,1.0,0.1458333333333333,120
bigscience/bloom-1b7,0,side,22,1,bn,informative,hi,0.4416666666666666,0.2333333333333333,-0.1062499940395355,120
bigscience/bloom-1b7,0,side,22,1,bn,neutral,bn,0.5,0.875,0.0708333313465118,120
bigscience/bloom-1b7,0,side,22,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,0,side,22,1,bn,neutral,hi,0.4083333333333333,0.0,-0.1854166507720947,120
bigscience/bloom-1b7,0,side,0,1,hi,informative,bn,0.5,1.0,0.2598958214124043,120
