model,concept,layer,rank,gap_mean,gap_std,random_drop_src
bigscience/bloom-1b7,side_aunt,0,1,-0.019999999999999907,0.03822448313726582,-0.0050000000000000044
bigscience/bloom-1b7,side_aunt,2,1,0.06166666666666669,0.019436506316151042,0.0016666666666666386
bigscience/bloom-1b7,side_aunt,4,1,-0.033333333333333284,0.02981423969999714,-0.0016666666666666607
bigscience/bloom-1b7,side_aunt,6,1,0.006666666666666665,0.024381231397212988,0.006666666666666732
bigscience/bloom-1b7,side_aunt,8,1,0.06166666666666672,0.05312459150169735,0.0016666666666666607
bigscience/bloom-1b7,side_aunt,10,1,0.025,0.015811388300841948,-0.003333333333333388
bigscience/bloom-1b7,side_aunt,12,1,0.16833333333333336,0.08981462390204992,-0.008333333333333349
bigscience/bloom-1b7,side_aunt,14,1,0.3316666666666667,0.1361575884366673,0.0
bigscience/bloom-1b7,side_aunt,16,1,0.16,0.07516648189186452,-0.006666666666666687
bigscience/bloom-1b7,side_aunt,18,1,0.16500000000000006,0.06612278141625785,-0.008333333333333326
bigscience/bloom-1b7,side_aunt,20,1,0.06833333333333336,0.036666666666666764,-0.006666666666666665
bigscience/bloom-1b7,side_aunt,22,1,-0.025000000000000022,0.030731814857642915,-0.006666666666666621
bigscience/bloom-1b7,gender,0,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,2,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,4,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,6,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,8,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,10,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,12,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,14,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,16,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,18,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,20,1,0.0,0.0,0.0
bigscience/bloom-1b7,gender,22,1,0.0,0.0,0.0
bigscience/bloom-560m,side_aunt,0,1,0.0,0.0,0.0
bigscience/bloom-560m,side_aunt,2,1,0.001666666666666683,0.011055415967851324,0.0
bigscience/bloom-560m,side_aunt,4,1,-0.013333333333333319,0.006666666666666659,0.0
bigscience/bloom-560m,side_aunt,6,1,0.08333333333333333,0.027888667551135834,0.0
bigscience/bloom-560m,side_aunt,8,1,0.009999999999999986,0.02000000000000001,0.0
bigscience/bloom-560m,side_aunt,10,1,0.026666666666666682,0.019999999999999983,0.0
bigscience/bloom-560m,side_aunt,12,1,-0.006666666666666643,0.030912061651652355,0.0
bigscience/bloom-560m,side_aunt,14,1,0.03333333333333335,0.01490711984999857,0.0
bigscience/bloom-560m,side_aunt,16,1,0.0,0.0,0.0
bigscience/bloom-560m,side_aunt,18,1,-0.0033333333333333214,0.006666666666666644,0.0
bigscience/bloom-560m,side_aunt,20,1,-0.029999999999999992,0.02211083193570267,0.0
bigscience/bloom-560m,side_aunt,22,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,0,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,2,1,0.006666666666666732,0.008164965809277341,0.0
bigscience/bloom-560m,gender,4,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,6,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,8,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,10,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,12,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,14,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,16,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,18,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,20,1,0.0,0.0,0.0
bigscience/bloom-560m,gender,22,1,0.0,0.0,0.0
