model,seed,concept,layer,rank,direction,context,eval_lang,acc,pair_acc,logit_diff,n
bigscience/bloom-1b7,4,side_aunt,-1,0,none,informative,bn,0.5,0.9833333333333333,0.19010415474573772,120
bigscience/bloom-1b7,4,side_aunt,-1,0,none,informative,en,0.5,0.875,0.08645833333333333,120
bigscience/bloom-1b7,4,side_aunt,-1,0,none,informative,hi,0.4666666666666667,0.525,0.007291668653488159,120
bigscience/bloom-1b7,4,side_aunt,-1,0,none,neutral,bn,0.5,0.9583333333333334,0.15052083730697632,120
bigscience/bloom-1b7,4,side_aunt,-1,0,none,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,4,side_aunt,-1,0,none,neutral,hi,0.5,0.5583333333333333,0.008854152758916219,120
bigscience/bloom-1b7,4,gender,-1,0,none,informative,bn,0.5,1.0,0.41666666269302366,120
bigscience/bloom-1b7,4,gender,-1,0,none,informative,en,0.6833333333333333,1.0,0.8656250079472859,120
bigscience/bloom-1b7,4,gender,-1,0,none,informative,hi,0.5,0.7166666666666667,0.07239582935969034,120
bigscience/bloom-1b7,4,gender,-1,0,none,neutral,bn,0.5,1.0,0.26562501390775045,120
bigscience/bloom-1b7,4,gender,-1,0,none,neutral,en,0.6916666666666667,1.0,0.840625003973643,120
bigscience/bloom-1b7,4,gender,-1,0,none,neutral,hi,0.5,1.0,0.2427083412806193,120
bigscience/bloom-1b7,4,side_aunt,0,1,bn,informative,bn,0.5,0.9833333333333333,0.17395832339922587,120
bigscience/bloom-1b7,4,side_aunt,0,1,bn,informative,en,0.5,0.875,0.08437500397364299,120
bigscience/bloom-1b7,4,side_aunt,0,1,bn,informative,hi,0.4583333333333333,0.5,0.005729162693023681,120
bigscience/bloom-1b7,4,side_aunt,0,1,bn,neutral,bn,0.5,0.9166666666666666,0.12187501192092895,120
bigscience/bloom-1b7,4,side_aunt,0,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,4,side_aunt,0,1,bn,neutral,hi,0.49166666666666664,0.575,0.01197916070620219,120
bigscience/bloom-1b7,4,side_aunt,2,1,bn,informative,bn,0.5,0.9083333333333333,0.12968750794728598,120
bigscience/bloom-1b7,4,side_aunt,2,1,bn,informative,en,0.5,0.8583333333333333,0.08125,120
bigscience/bloom-1b7,4,side_aunt,2,1,bn,informative,hi,0.4583333333333333,0.5,0.0036458472410837808,120
bigscience/bloom-1b7,4,side_aunt,2,1,bn,neutral,bn,0.5,0.775,0.07239582935969034,120
bigscience/bloom-1b7,4,side_aunt,2,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,4,side_aunt,2,1,bn,neutral,hi,0.5,0.575,0.010416646798451742,120
bigscience/bloom-1b7,4,side_aunt,4,1,bn,informative,bn,0.5083333333333333,1.0,0.2197916587193807,120
bigscience/bloom-1b7,4,side_aunt,4,1,bn,informative,en,0.5,0.875,0.08749999602635701,120
bigscience/bloom-1b7,4,side_aunt,4,1,bn,informative,hi,0.48333333333333334,0.525,0.007291662693023682,120
bigscience/bloom-1b7,4,side_aunt,4,1,bn,neutral,bn,0.5,0.8666666666666667,0.12552081942558288,120
bigscience/bloom-1b7,4,side_aunt,4,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-1b7,4,side_aunt,4,1,bn,neutral,hi,0.5,0.5666666666666667,0.012499984105428059,120
bigscience/bloom-1b7,4,side_aunt,6,1,bn,informative,bn,0.5,0.975,0.16406248211860658,120
bigscience/bloom-1b7,4,side_aunt,6,1,bn,informative,en,0.5,0.8666666666666667,0.08333333333333333,120
bigscience/bloom-1b7,4,side_aunt,6,1,bn,informative,hi,0.475,0.575,0.008333331346511841,120
