model,seed,concept,layer,train_context,train_lang,test_context,test_lang,control,acc
bigscience/bloom-1b7,4,side_aunt,0,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,0,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,0,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,0,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,0,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,0,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,0,informative,bn,informative,bn,shuffled,0.4166666666666667
bigscience/bloom-1b7,4,side_aunt,1,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,1,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,1,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,1,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,1,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,1,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,1,informative,bn,informative,bn,shuffled,0.5
bigscience/bloom-1b7,4,side_aunt,2,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,2,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,2,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,2,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,2,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,2,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,2,informative,bn,informative,bn,shuffled,0.6666666666666666
bigscience/bloom-1b7,4,side_aunt,3,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,3,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,3,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,3,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,3,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,3,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,3,informative,bn,informative,bn,shuffled,0.5583333333333333
bigscience/bloom-1b7,4,side_aunt,4,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,4,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,4,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,4,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,4,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,4,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,4,informative,bn,informative,bn,shuffled,0.5
bigscience/bloom-1b7,4,side_aunt,5,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,5,informative,bn,informative,hi,none,0.5
