model,seed,concept,layer,rank,direction,lang,acc_before,acc_after
bigscience/bloom-560m,2,side_aunt,0,1,bn,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,2,1,bn,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,4,1,bn,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,6,1,bn,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,8,1,bn,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,10,1,bn,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,12,1,bn,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,12,4,bn,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,14,1,bn,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,16,1,bn,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,18,1,bn,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,20,1,bn,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,22,1,bn,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,0,1,hi,hi,1.0,1.0
bigscience/bloom-560m,2,side_aunt,2,1,hi,hi,1.0,1.0
bigscience/bloom-560m,2,side_aunt,4,1,hi,hi,1.0,1.0
bigscience/bloom-560m,2,side_aunt,6,1,hi,hi,1.0,1.0
bigscience/bloom-560m,2,side_aunt,8,1,hi,hi,1.0,1.0
bigscience/bloom-560m,2,side_aunt,10,1,hi,hi,1.0,1.0
bigscience/bloom-560m,2,side_aunt,12,1,hi,hi,1.0,1.0
bigscience/bloom-560m,2,side_aunt,12,4,hi,hi,1.0,1.0
bigscience/bloom-560m,2,side_aunt,14,1,hi,hi,1.0,1.0
bigscience/bloom-560m,2,side_aunt,16,1,hi,hi,1.0,1.0
bigscience/bloom-560m,2,side_aunt,18,1,hi,hi,1.0,1.0
bigscience/bloom-560m,2,side_aunt,20,1,hi,hi,1.0,1.0
bigscience/bloom-560m,2,side_aunt,22,1,hi,hi,1.0,1.0
