model,seed,concept,layer,rank,direction,context,eval_lang,acc,pair_acc,logit_diff,n
bigscience/bloom-560m,4,side_aunt,-1,0,none,informative,bn,0.5333333333333333,1.0,1.1409347494443258,120
bigscience/bloom-560m,4,side_aunt,-1,0,none,informative,en,0.5,0.7833333333333333,0.022728983561197916,120
bigscience/bloom-560m,4,side_aunt,-1,0,none,informative,hi,0.8,1.0,0.9817491988341014,120
bigscience/bloom-560m,4,side_aunt,-1,0,none,neutral,bn,0.5,1.0,0.6328322450319926,120
bigscience/bloom-560m,4,side_aunt,-1,0,none,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-560m,4,side_aunt,-1,0,none,neutral,hi,0.7333333333333333,1.0,0.6878091951211294,120
bigscience/bloom-560m,4,gender,-1,0,none,informative,bn,0.5,1.0,0.6064145763715109,120
bigscience/bloom-560m,4,gender,-1,0,none,informative,en,0.875,1.0,0.5291460673014323,120
bigscience/bloom-560m,4,gender,-1,0,none,informative,hi,0.5166666666666667,1.0,0.5209535916646322,120
bigscience/bloom-560m,4,gender,-1,0,none,neutral,bn,0.5,0.7666666666666667,0.08105443318684896,120
bigscience/bloom-560m,4,gender,-1,0,none,neutral,en,0.8333333333333334,1.0,0.49058634440104165,120
bigscience/bloom-560m,4,gender,-1,0,none,neutral,hi,0.5,1.0,0.23963605960210163,120
bigscience/bloom-560m,4,side_aunt,0,1,bn,informative,bn,0.5333333333333333,1.0,1.149267735083898,120
bigscience/bloom-560m,4,side_aunt,0,1,bn,informative,en,0.5,0.7833333333333333,0.02264226277669271,120
bigscience/bloom-560m,4,side_aunt,0,1,bn,informative,hi,0.7833333333333333,1.0,0.9727662911017736,120
bigscience/bloom-560m,4,side_aunt,0,1,bn,neutral,bn,0.5,1.0,0.6278408249219258,120
bigscience/bloom-560m,4,side_aunt,0,1,bn,neutral,en,0.5,0.5,0.0,120
bigscience/bloom-560m,4,side_aunt,0,1,bn,neutral,hi,0.725,1.0,0.685875517129898,120
bigscience/bloom-560m,4,side_aunt,2,1,bn,informative,bn,0.5333333333333333,1.0,1.0459186832110088,120
bigscience/bloom-560m,4,side_aunt,2,1,bn,informative,en,0.5,0.8,0.025484466552734376,120
bigscience/bloom-560m,4,side_aunt,2,1,bn,informative,hi,0.7833333333333333,1.0,0.9871488501628239,120
bigscience/bloom-560m,4,side_aunt,2,1,bn,neutral,bn,0.5,1.0,0.5491489092508952,120
