model,seed,concept,layer,rank,direction,context,eval_lang,acc,pair_acc,logit_diff,n
bigscience/bloom-1b7,0,side_aunt,-1,0,none,informative,bn,0.5,1.0,0.3270833194255829,120
bigscience/bloom-1b7,0,side_aunt,-1,0,none,informative,en,0.5,0.9083333333333332,0.0854166666666666,120
bigscience/bloom-1b7,0,side_aunt,-1,0,none,informative,hi,0.5,0.4833333333333333,-0.0026041607062021,120
bigscience/bloom-1b7,0,side_aunt,-1,0,none,neutral,bn,0.5,0.975,0.2291666607062022,120
bigscience/bloom-1b7,0,side_aunt,-1,0,none,neutral,en,0.5,0.4916666666666666,-0.0010416666666666,120
bigscience/bloom-1b7,0,side_aunt,-1,0,none,neutral,hi,0.4916666666666666,0.6666666666666666,0.0270833293596903,120
bigscience/bloom-1b7,0,gender,-1,0,none,informative,bn,0.5,1.0,0.4619791726271311,120
bigscience/bloom-1b7,0,gender,-1,0,none,informative,en,0.775,1.0,0.8510416706403097,120
bigscience/bloom-1b7,0,gender,-1,0,none,informative,hi,0.5083333333333333,0.725,0.0333333373069763,120
bigscience/bloom-1b7,0,gender,-1,0,none,neutral,bn,0.5,1.0,0.2822916686534881,120
bigscience/bloom-1b7,0,gender,-1,0,none,neutral,en,0.7333333333333333,1.0,0.7895833253860474,120
bigscience/bloom-1b7,0,gender,-1,0,none,neutral,hi,0.5,1.0,0.2083333333333333,120
bigscience/bloom-1b7,0,side_aunt,0,1,bn,informative,bn,0.5,0.9916666666666668,0.3125,120
bigscience/bloom-1b7,0,side_aunt,0,1,bn,informative,en,0.5,0.8166666666666667,0.06875,120
bigscience/bloom-1b7,0,side_aunt,0,1,bn,informative,hi,0.5,0.4833333333333333,-0.0036458313465118,120
bigscience/bloom-1b7,0,side_aunt,0,1,bn,neutral,bn,0.5,0.9583333333333334,0.2026041646798451,120
bigscience/bloom-1b7,0,side_aunt,0,1,bn,neutral,en,0.5,0.5,0.0,120
