model,layer,rank,metric,mean,std,n_seeds
bigscience/bloom-1b7,12,1,clean_acc_src,0.93,0.07575545451575674,5
bigscience/bloom-1b7,12,1,clean_acc_tgt,0.8649999999999999,0.0487054639873415,5
bigscience/bloom-1b7,12,1,clean_acc_identity,0.5166666666666666,0.07168604389202188,5
bigscience/bloom-1b7,12,1,drop_src,0.21166666666666667,0.08326663997864533,5
bigscience/bloom-1b7,12,1,drop_tgt,0.043333333333333314,0.040276819911981884,5
bigscience/bloom-1b7,12,1,drop_random_src,-0.008333333333333349,0.00527046276694728,5
bigscience/bloom-1b7,12,1,gap,0.16833333333333336,0.08981462390204992,5
bigscience/bloom-1b7,12,1,specificity,0.22000000000000003,0.08343327340522558,5
bigscience/bloom-1b7,12,1,drop_identity,0.026666666666666672,0.009718253158075526,5
bigscience/bloom-1b7,12,1,gap_matched,0.0,0.0,5
bigscience/bloom-560m,12,1,clean_acc_src,1.0,0.0,5
bigscience/bloom-560m,12,1,clean_acc_tgt,0.63,0.12174654911833115,5
bigscience/bloom-560m,12,1,clean_acc_identity,1.0,0.0,5
bigscience/bloom-560m,12,1,drop_src,0.0,0.0,5
bigscience/bloom-560m,12,1,drop_tgt,0.006666666666666643,0.030912061651652355,5
bigscience/bloom-560m,12,1,drop_random_src,0.0,0.0,5
bigscience/bloom-560m,12,1,gap,-0.006666666666666643,0.030912061651652355,5
bigscience/bloom-560m,12,1,specificity,0.0,0.0,5
bigscience/bloom-560m,12,1,drop_identity,0.0,0.0,5
bigscience/bloom-560m,12,1,gap_matched,0.0,0.0,5
