model,seed,concept,layer,rank,direction,context,eval_lang,acc,pair_acc,logit_diff,n
__tiny_random__,0,side_aunt,-1,0,none,informative,bn,0.5,1.0,0.0038574854532877605,120
__tiny_random__,0,side_aunt,-1,0,none,informative,en,0.5,1.0,0.0020140409469604492,120
__tiny_random__,0,side_aunt,-1,0,none,informative,hi,0.5,0.35,-0.0002867778142293294,120
__tiny_random__,0,side_aunt,-1,0,none,neutral,bn,0.5,0.9666666666666667,0.0022400856018066407,120
__tiny_random__,0,side_aunt,-1,0,none,neutral,en,0.5,0.5,-7.947285970052083e-09,120
__tiny_random__,0,side_aunt,-1,0,none,neutral,hi,0.5,0.5166666666666667,-0.023608032862345377,120
__tiny_random__,0,gender,-1,0,none,informative,bn,0.5,1.0,0.005035797754923503,120
__tiny_random__,0,gender,-1,0,none,informative,en,0.5,1.0,0.0025409777959187825,120
__tiny_random__,0,gender,-1,0,none,informative,hi,0.5,0.5,0.011262623469034831,120
__tiny_random__,0,gender,-1,0,none,neutral,bn,0.5,1.0,0.004775603612263997,120
__tiny_random__,0,gender,-1,0,none,neutral,en,0.5,1.0,0.0030443588892618816,120
__tiny_random__,0,gender,-1,0,none,neutral,hi,0.5,0.5666666666666667,0.02251493533452352,120
__tiny_random__,0,side_aunt,0,1,bn,informative,bn,0.5,1.0,0.004590384165445964,120
__tiny_random__,0,side_aunt,0,1,bn,informative,en,0.5,1.0,0.0014240066210428873,120
__tiny_random__,0,side_aunt,0,1,bn,informative,hi,0.5,0.4,-0.00012385845184326172,120
__tiny_random__,0,side_aunt,0,1,bn,neutral,bn,0.5,0.9666666666666667,0.0019159317016601562,120
__tiny_random__,0,side_aunt,0,1,bn,neutral,en,0.5,0.5,1.9868214925130207e-08,120
__tiny_random__,0,side_aunt,0,1,bn,neutral,hi,0.5,0.5666666666666667,-0.027211340268452962,120
__tiny_random__,0,side_aunt,2,1,bn,informative,bn,0.5083333333333333,0.7833333333333333,0.0015111287434895833,120
__tiny_random__,0,side_aunt,2,1,bn,informative,en,0.5,0.7666666666666667,0.0003499746322631836,120
__tiny_random__,0,side_aunt,2,1,bn,informative,hi,0.5,0.26666666666666666,-0.0007123311360677083,120
__tiny_random__,0,side_aunt,2,1,bn,neutral,bn,0.5,0.6833333333333333,0.0007411003112792969,120
__tiny_random__,0,side_aunt,2,1,bn,neutral,en,0.5,0.5,-3.973642985026042e-09,120
__tiny_random__,0,side_aunt,2,1,bn,neutral,hi,0.5,0.5166666666666667,-0.02106610933939616,120
__tiny_random__,0,side_aunt,2,2,bn,informative,bn,0.5166666666666667,0.9833333333333333,0.003038501739501953,120
__tiny_random__,0,side_aunt,2,2,bn,informative,en,0.5,1.0,0.0006212910016377767,120
__tiny_random__,0,side_aunt,2,2,bn,informative,hi,0.5,0.31666666666666665,-0.0006082534790039062,120
__tiny_random__,0,side_aunt,2,2,bn,neutral,bn,0.5,0.8333333333333334,0.0012223561604817708,120
__tiny_random__,0,side_aunt,2,2,bn,neutral,en,0.5,0.5,0.0,120
__tiny_random__,0,side_aunt,2,2,bn,neutral,hi,0.5,0.5166666666666667,-0.021062151590983073,120
__tiny_random__,0,side_aunt,0,1,hi,informative,bn,0.5,1.0,0.004466787974039713,120
__tiny_random__,0,side_aunt,0,1,hi,informative,en,0.5,1.0,0.002250035603841146,120
__tiny_random__,0,side_aunt,0,1,hi,informative,hi,0.5,0.3333333333333333,-0.0004597981770833333,120
__tiny_random__,0,side_aunt,0,1,hi,neutral,bn,0.5,0.9666666666666667,0.002674706776936849,120
__tiny_random__,0,side_aunt,0,1,hi,neutral,en,0.5,0.5,2.7815500895182292e-08,120
__tiny_random__,0,side_aunt,0,1,hi,neutral,hi,0.5,0.43333333333333335,-0.02698545455932617,120
__tiny_random__,0,side_aunt,2,1,hi,informative,bn,0.5083333333333333,0.8833333333333333,0.002850945790608724,120
__tiny_random__,0,side_aunt,2,1,hi,informative,en,0.5,1.0,0.002221091588338216,120
__tiny_random__,0,side_aunt,2,1,hi,informative,hi,0.5,0.6666666666666666,0.0009216229120890299,120
__tiny_random__,0,side_aunt,2,1,hi,neutral,bn,0.5,0.9666666666666667,0.0025357564290364584,120
__tiny_random__,0,side_aunt,2,1,hi,neutral,en,0.5,0.5,-1.1920928955078126e-08,120
__tiny_random__,0,side_aunt,2,1,hi,neutral,hi,0.5,0.45,-0.023953477541605633,120
__tiny_random__,0,side_aunt,2,2,hi,informative,bn,0.5,0.95,0.002521324157714844,120
__tiny_random__,0,side_aunt,2,2,hi,informative,en,0.5,1.0,0.0021906614303588865,120
__tiny_random__,0,side_aunt,2,2,hi,informative,hi,0.5,0.35,-0.0004207928975423177,120
__tiny_random__,0,side_aunt,2,2,hi,neutral,bn,0.5,0.9,0.0020883878072102866,120
