model,seed,concept,layer,rank,direction,context,eval_lang,acc,pair_acc,logit_diff,n
__tiny_random__,0,side_aunt,-1,0,none,informative,bn,0.5,1.0,0.0038574854532877,120
__tiny_random__,0,side_aunt,-1,0,none,informative,en,0.5,1.0,0.0020140409469604,120
__tiny_random__,0,side_aunt,-1,0,none,informative,hi,0.5,0.35,-0.0002867778142293,120
__tiny_random__,0,side_aunt,-1,0,none,neutral,bn,0.5,0.9666666666666668,0.0022400856018066,120
__tiny_random__,0,side_aunt,-1,0,none,neutral,en,0.5,0.5,-7.947285970052083e-09,120
__tiny_random__,0,side_aunt,-1,0,none,neutral,hi,0.5,0.5166666666666667,-0.0236080328623453,120
__tiny_random__,0,gender,-1,0,none,informative,bn,0.5,1.0,0.0050357977549235,120
__tiny_random__,0,gender,-1,0,none,informative,en,0.5,1.0,0.0025409777959187,120
__tiny_random__,0,gender,-1,0,none,informative,hi,0.5,0.5,0.0112626234690348,120
__tiny_random__,0,gender,-1,0,none,neutral,bn,0.5,1.0,0.0047756036122639,120
__tiny_random__,0,gender,-1,0,none,neutral,en,0.5,1.0,0.0030443588892618,120
__tiny_random__,0,gender,-1,0,none,neutral,hi,0.5,0.5666666666666667,0.0225149353345235,120
__tiny_random__,0,side_aunt,0,1,bn,informative,bn,0.5,1.0,0.0045903841654459,120
__tiny_random__,0,side_aunt,0,1,bn,informative,en,0.5,1.0,0.0014240066210428,120
__tiny_random__,0,side_aunt,0,1,bn,informative,hi,0.5,0.4,-0.0001238584518432,120
__tiny_random__,0,side_aunt,0,1,bn,neutral,bn,0.5,0.9666666666666668,0.0019159317016601,120
__tiny_random__,0,side_aunt,0,1,bn,neutral,en,0.5,0.5,1.9868214925130207e-08,120
__tiny_random__,0,side_aunt,0,1,bn,neutral,hi,0.5,0.5666666666666667,-0.0272113402684529,120
__tiny_random__,0,side_aunt,2,1,bn,informative,bn,0.5083333333333333,0.7833333333333333,0.0015111287434895,120
__tiny_random__,0,side_aunt,2,1,bn,informative,en,0.5,0.7666666666666667,0.0003499746322631,120
__tiny_random__,0,side_aunt,2,1,bn,informative,hi,0.5,0.2666666666666666,-0.0007123311360677,120
__tiny_random__,0,side_aunt,2,1,bn,neutral,bn,0.5,0.6833333333333333,0.0007411003112792,120
__tiny_random__,0,side_aunt,2,1,bn,neutral,en,0.5,0.5,-3.9736429850260424e-09,120
__tiny_random__,0,side_aunt,2,1,bn,neutral,hi,0.5,0.5166666666666667,-0.0210661093393961,120
__tiny_random__,0,side_aunt,2,2,bn,informative,bn,0.5166666666666667,0.9833333333333332,0.0030385017395019,120
__tiny_random__,0,side_aunt,2,2,bn,informative,en,0.5,1.0,0.0006212910016377,120
__tiny_random__,0,side_aunt,2,2,bn,informative,hi,0.5,0.3166666666666666,-0.0006082534790039,120
__tiny_random__,0,side_aunt,2,2,bn,neutral,bn,0.5,0.8333333333333334,0.0012223561604817,120
__tiny_random__,0,side_aunt,2,2,bn,neutral,en,0.5,0.5,0.0,120
__tiny_random__,0,side_aunt,2,2,bn,neutral,hi,0.5,0.5166666666666667,-0.021062151590983,120
