model,seed,concept,layer,rank,direction,context,eval_lang,acc,pair_acc,logit_diff,n
__tiny_random__,0,side,-1,0,none,informative,bn,0.4916666666666666,0.0,-0.0050983428955078,120
__tiny_random__,0,side,-1,0,none,informative,en,0.5,1.0,0.0022975921630859,120
__tiny_random__,0,side,-1,0,none,informative,hi,0.5,0.5,0.0093189477920532,120
__tiny_random__,0,side,-1,0,none,neutral,bn,0.475,0.0,-0.0072210947672526,120
__tiny_random__,0,side,-1,0,none,neutral,en,0.5,0.5,3.9736429850260424e-09,120
__tiny_random__,0,side,-1,0,none,neutral,hi,0.5,0.0,-0.0011269330978393,120
__tiny_random__,0,gender,-1,0,none,informative,bn,0.5,0.3666666666666666,-0.0003062725067138,120
__tiny_random__,0,gender,-1,0,none,informative,en,0.5,0.0,-0.0024433215459187,120
__tiny_random__,0,gender,-1,0,none,informative,hi,0.5,0.35,-0.0340611139933268,120
__tiny_random__,0,gender,-1,0,none,neutral,bn,0.5,0.5,-0.0001704851786295,120
__tiny_random__,0,gender,-1,0,none,neutral,en,0.5,0.0,-0.0015615463256835,120
__tiny_random__,0,gender,-1,0,none,neutral,hi,0.5,0.3166666666666666,-0.0340946753819783,120
__tiny_random__,0,side,0,1,bn,informative,bn,0.5,0.0,-0.0046773274739583,120
__tiny_random__,0,side,0,1,bn,informative,en,0.55,1.0,0.0026410460472106,120
__tiny_random__,0,side,0,1,bn,informative,hi,0.5,0.5,0.0078472137451171,120
__tiny_random__,0,side,0,1,bn,neutral,bn,0.4916666666666666,0.0,-0.0068077723185221,120
__tiny_random__,0,side,0,1,bn,neutral,en,0.5,0.5,-7.947285970052083e-09,120
__tiny_random__,0,side,0,1,bn,neutral,hi,0.5,0.0,-0.0012505610783894,120
__tiny_random__,0,side,2,1,bn,informative,bn,0.4916666666666666,0.0,-0.0031649907430013,120
__tiny_random__,0,side,2,1,bn,informative,en,0.5,1.0,0.001729134718577,120
__tiny_random__,0,side,2,1,bn,informative,hi,0.5,0.4333333333333333,-0.0015086015065511,120
__tiny_random__,0,side,2,1,bn,neutral,bn,0.475,0.0,-0.0057220458984375,120
__tiny_random__,0,side,2,1,bn,neutral,en,0.5,0.5,1.1920928955078126e-08,120
__tiny_random__,0,side,2,1,bn,neutral,hi,0.5,0.0,-0.0010356187820434,120
__tiny_random__,0,side,2,2,bn,informative,bn,0.4916666666666666,0.0,-0.003255558013916,120
__tiny_random__,0,side,2,2,bn,informative,en,0.5,1.0,0.0014174183209737,120
__tiny_random__,0,side,2,2,bn,informative,hi,0.5,0.4333333333333333,-0.001701005299886,120
__tiny_random__,0,side,2,2,bn,neutral,bn,0.5,0.0,-0.0058000564575195,120
__tiny_random__,0,side,2,2,bn,neutral,en,0.5,0.5,-7.947285970052083e-09,120
__tiny_random__,0,side,2,2,bn,neutral,hi,0.5,0.1666666666666666,-0.0008196671803792,120
__tiny_random__,0,side,0,1,hi,informative,bn,0.5,0.0,-0.0046915372212727,120
__tiny_random__,0,side,0,1,hi,informative,en,0.5,1.0,0.0023653308550516,120
__tiny_random__,0,side,0,1,hi,informative,hi,0.5,0.5,0.0078528006871541,120
__tiny_random__,0,side,0,1,hi,neutral,bn,0.4916666666666666,0.0,-0.0068264961242675,120
__tiny_random__,0,side,0,1,hi,neutral,en,0.5,0.5,1.9868214925130207e-08,120
__tiny_random__,0,side,0,1,hi,neutral,hi,0.5,0.1166666666666666,-0.0011238892873128,120
__tiny_random__,0,side,2,1,hi,informative,bn,0.4833333333333333,0.0,-0.0051236788431803,120
__tiny_random__,0,side,2,1,hi,informative,en,0.5,1.0,0.0024013042449951,120
__tiny_random__,0,side,2,1,hi,informative,hi,0.5,0.5,-0.0025625785191853,120
__tiny_random__,0,side,2,1,hi,neutral,bn,0.475,0.0,-0.0071112632751464,120
__tiny_random__,0,side,2,1,hi,neutral,en,0.5,0.5,-1.5894571940104166e-08,120
__tiny_random__,0,side,2,1,hi,neutral,hi,0.5,0.0,-0.0027477979660034,120
__tiny_random__,0,side,2,2,hi,informative,bn,0.5,0.0,-0.0056094805399576,120
__tiny_random__,0,side,2,2,hi,informative,en,0.5,1.0,0.0016618450482686,120
__tiny_random__,0,side,2,2,hi,informative,hi,0.5,0.5,-0.005746579170227,120
__tiny_random__,0,side,2,2,hi,neutral,bn,0.4833333333333333,0.0,-0.0072445233662923,120
__tiny_random__,0,side,2,2,hi,neutral,en,0.5,0.5,-1.1920928955078126e-08,120
__tiny_random__,0,side,2,2,hi,neutral,hi,0.5,0.0,-0.0017376979192097,120
__tiny_random__,0,side,0,1,en,informative,bn,0.4916666666666666,0.0,-0.0048625310262044,120
__tiny_random__,0,side,0,1,en,informative,en,0.5,0.0,-0.000291629632314,120
__tiny_random__,0,side,0,1,en,informative,hi,0.5,0.5,0.0076667547225952,120
__tiny_random__,0,side,0,1,en,neutral,bn,0.475,0.0,-0.0069656372070312,120
__tiny_random__,0,side,0,1,en,neutral,en,0.5,0.5,-7.947285970052083e-09,120
__tiny_random__,0,side,0,1,en,neutral,hi,0.5,0.0,-0.0016204595565795,120
__tiny_random__,0,side,2,1,en,informative,bn,0.5,0.0,-0.0052579243977864,120
__tiny_random__,0,side,2,1,en,informative,en,0.5,1.0,0.0013300975163777,120
__tiny_random__,0,side,2,1,en,informative,hi,0.5,0.4333333333333333,0.0133102258046468,120
__tiny_random__,0,side,2,1,en,neutral,bn,0.4916666666666666,0.0,-0.0074314435323079,120
__tiny_random__,0,side,2,1,en,neutral,en,0.5,0.5,0.0,120
__tiny_random__,0,side,2,1,en,neutral,hi,0.5,0.2833333333333333,-0.000403889020284,120
__tiny_random__,0,side,2,2,en,informative,bn,0.5,0.0,-0.0053735733032226,120
__tiny_random__,0,side,2,2,en,informative,en,0.5,1.0,0.0018032153447469,120
__tiny_random__,0,side,2,2,en,informative,hi,0.5,0.4333333333333333,0.0131002346674601,120
__tiny_random__,0,side,2,2,en,neutral,bn,0.5,0.0,-0.0074200948079427,120
__tiny_random__,0,side,2,2,en,neutral,en,0.5,0.5,0.0,120
__tiny_random__,0,side,2,2,en,neutral,hi,0.5,0.25,-0.0005206902821858,120
__tiny_random__,0,gender,0,1,bn,informative,bn,0.4916666666666666,0.0,-0.0041289329528808,120
__tiny_random__,0,gender,0,1,bn,informative,en,0.5,0.0,-0.0028682907422383,120
__tiny_random__,0,gender,0,1,bn,informative,hi,0.5,0.35,-0.0336893717447916,120
__tiny_random__,0,gender,0,1,bn,neutral,bn,0.5,0.0,-0.003047227859497,120
__tiny_random__,0,gender,0,1,bn,neutral,en,0.5,0.0,-0.0018595814704895,120
__tiny_random__,0,gender,0,1,bn,neutral,hi,0.5,0.4,-0.035043720404307,120
__tiny_random__,0,gender,2,1,bn,informative,bn,0.5,0.0666666666666666,-0.001310110092163,120
__tiny_random__,0,gender,2,1,bn,informative,en,0.5,0.0,-0.0025211254755655,120
__tiny_random__,0,gender,2,1,bn,informative,hi,0.5,0.3666666666666666,-0.0369807084401448,120
__tiny_random__,0,gender,2,1,bn,neutral,bn,0.5,0.0166666666666666,-0.0014802614847819,120
__tiny_random__,0,gender,2,1,bn,neutral,en,0.45,0.0,-0.001636528968811,120
__tiny_random__,0,gender,2,1,bn,neutral,hi,0.5,0.35,-0.0336450417836507,120
__tiny_random__,0,gender,2,2,bn,informative,bn,0.5,0.0,-0.0047999858856201,120
__tiny_random__,0,gender,2,2,bn,informative,en,0.5,0.0,-0.002465550104777,120
__tiny_random__,0,gender,2,2,bn,informative,hi,0.5,0.3666666666666666,-0.0354704141616821,120
__tiny_random__,0,gender,2,2,bn,neutral,bn,0.5,0.0,-0.0042085965474446,120
__tiny_random__,0,gender,2,2,bn,neutral,en,0.4083333333333333,0.0,-0.0017967700958251,120
__tiny_random__,0,gender,2,2,bn,neutral,hi,0.5,0.35,-0.0333929936091105,120
__tiny_random__,0,gender,0,1,hi,informative,bn,0.5,0.8333333333333334,0.0011571407318115,120
__tiny_random__,0,gender,0,1,hi,informative,en,0.5,0.0,-0.0024661540985107,120
__tiny_random__,0,gender,0,1,hi,informative,hi,0.5,0.3666666666666666,-0.0329870223999023,120
__tiny_random__,0,gender,0,1,hi,neutral,bn,0.5,0.8,0.0009917577107747,120
__tiny_random__,0,gender,0,1,hi,neutral,en,0.5,0.0,-0.0016867359479268,120
__tiny_random__,0,gender,0,1,hi,neutral,hi,0.5,0.35,-0.0382636507352193,120
__tiny_random__,0,gender,2,1,hi,informative,bn,0.5,0.3833333333333333,4.6539306640625e-05,120
__tiny_random__,0,gender,2,1,hi,informative,en,0.5,0.0,-0.0027561545372009,120
__tiny_random__,0,gender,2,1,hi,informative,hi,0.5,0.3666666666666666,-0.0364103515942891,120
__tiny_random__,0,gender,2,1,hi,neutral,bn,0.5,0.6166666666666667,8.96612803141276e-05,120
__tiny_random__,0,gender,2,1,hi,neutral,en,0.5,0.0,-0.0019356846809387,120
__tiny_random__,0,gender,2,1,hi,neutral,hi,0.5,0.35,-0.0389293352762858,120
__tiny_random__,0,gender,2,2,hi,informative,bn,0.5,0.9333333333333332,0.0019399166107177,120
__tiny_random__,0,gender,2,2,hi,informative,en,0.5,0.0,-0.0026508728663126,120
__tiny_random__,0,gender,2,2,hi,informative,hi,0.5,0.3666666666666666,-0.0401780247688293,120
__tiny_random__,0,gender,2,2,hi,neutral,bn,0.5,0.95,0.0015704949696858,120
__tiny_random__,0,gender,2,2,hi,neutral,en,0.5,0.0,-0.001918872197469,120
__tiny_random__,0,gender,2,2,hi,neutral,hi,0.5,0.2333333333333333,-0.0425641934076944,120
__tiny_random__,0,gender,0,1,en,informative,bn,0.5,0.3666666666666666,-0.0002257029215494,120
__tiny_random__,0,gender,0,1,en,informative,en,0.5,0.0,-0.0026090423266092,120
__tiny_random__,0,gender,0,1,en,informative,hi,0.5,0.35,-0.0298507531483968,120
__tiny_random__,0,gender,0,1,en,neutral,bn,0.5083333333333333,0.55,-2.6337305704752605e-05,120
__tiny_random__,0,gender,0,1,en,neutral,en,0.5,0.0,-0.0014565745989481,120
__tiny_random__,0,gender,0,1,en,neutral,hi,0.5,0.4666666666666667,-0.0280225992202758,120
__tiny_random__,0,gender,2,1,en,informative,bn,0.4916666666666666,0.2333333333333333,-0.0006619294484456,120
__tiny_random__,0,gender,2,1,en,informative,en,0.5,0.0,-0.002236525217692,120
__tiny_random__,0,gender,2,1,en,informative,hi,0.5,0.2833333333333333,-0.0295112133026123,120
__tiny_random__,0,gender,2,1,en,neutral,bn,0.5,0.5666666666666667,-0.0001060485839843,120
__tiny_random__,0,gender,2,1,en,neutral,en,0.4583333333333333,0.0,-0.0013136545817057,120
__tiny_random__,0,gender,2,1,en,neutral,hi,0.5,0.4,-0.026874562104543,120
__tiny_random__,0,gender,2,2,en,informative,bn,0.4916666666666666,0.2333333333333333,-0.0006268978118896,120
__tiny_random__,0,gender,2,2,en,informative,en,0.5,0.0,-0.0020720124244689,120
__tiny_random__,0,gender,2,2,en,informative,hi,0.5,0.35,-0.0298158089319864,120
__tiny_random__,0,gender,2,2,en,neutral,bn,0.5,0.3166666666666666,-0.0004525184631347,120
__tiny_random__,0,gender,2,2,en,neutral,en,0.4833333333333333,0.0,-0.0010431925455729,120
__tiny_random__,0,gender,2,2,en,neutral,hi,0.5,0.4,-0.0271789987881978,120
__tiny_random__,0,side,0,1,random,informative,bn,0.4833333333333333,0.0,-0.0051557540893554,120
__tiny_random__,0,side,0,1,random,informative,en,0.5,1.0,0.002322785059611,120
__tiny_random__,0,side,0,1,random,informative,hi,0.5,0.4333333333333333,0.0068577527999877,120
__tiny_random__,0,side,0,1,random,neutral,bn,0.4583333333333333,0.0,-0.0072423299153645,120
__tiny_random__,0,side,0,1,random,neutral,en,0.5,0.5,-7.947285970052083e-09,120
